term_id,langs,country,term,type,code_lang,hl,gl,Collection_date,Result_number,Link,coding_completion_date,correctness_link,Site_type,Content_producer,recent_information,prop_recent_information,author_background,prop_author_background,major_scientific_errors,prop_major_scientific_errors,accuracy_scientific_content,prop_accuracy_scientific_content,high_scientific_lang,explanations_scientific_terms,Jargon_score,prop_Jargon_score,required_scientific_background,prop_required_scientific_background,sources_available,1_None,2_Others,3_Interaction_option,4_Graphs,5_multimedia,6_Hyper_links,7_Numerical_data,8_sources,9_references_literature,Quality_component_score,prop_Quality_component_score,Accessibility_component_score,prop_Accessibility_component_score,prop_Quality_mean,prop_Accessibility_mean,reject_or_reinforce_conspiracy_theory,prop_reject_or_reinforce_conspiracy_theory,malicious_meaning,prop_malicious_meaning,claims_contradict_accepted_scientific_explanations,prop_claims_contradict_accepted_scientific_explanations,specific_groups_presented_as_enemy,prop_specific_groups_presented_as_enemy,prop_Conspiratorial_mean,daily_reference,prop_daily_reference,local_examples,prop_local_examples,advantages_and_disadvantages_or_risks_and_benefits,prop_advantages_and_disadvantages_or_risks_and_benefits,prop_SSI_mean 
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,2,http://lnbook.wenqujingdian.com/Public/editor/attached/file/20180801/20180801224316_88596.pdf,31.8.2022,3,5,5,2,0.5,2,0.666666667,1,0.5,,,1,1,1,0.333333333,,,"4, 5, 7, 9",0,0,0,1,1,0,1,0,1,2,0.666666667,2,0.5,0.583333333,0.416666667,1,0.333333333,3,1,2,0.666666667,3,1,0.75,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,3,https://zh.wikipedia.org/zh-tw/%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96%E5%A4%A7%E9%A8%99%E5%B1%80,31.8.2022,1,1,10,4,1,2,0.666666667,2,1,,,2,,3,1,,,"6, 8, 2009",0,0,0,0,0,1,0,1,1,2,0.666666667,1,0.25,0.833333333,0.625,2,0.666666667,3,1,3,1,3,1,0.916666667,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,4,https://zh.m.wikipedia.org/zh-hant/%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96%E5%A4%A7%E9%A8%99%E5%B1%80,31.8.2022,1,1,10,4,1,2,0.666666667,2,1,,,2,,3,1,,,"6, 9",0,0,0,0,0,1,0,1,1,1,0.333333333,1,0.25,0.75,0.625,2,0.666666667,3,1,3,1,3,1,0.916666667,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,5,https://www.epochweekly.com/b5/012/2875.htm,31.8.2022,3,5,11,2,0.5,2,0.666666667,2,1,,,2,,3,1,,,5,0,0,0,0,1,0,0,1,0,0,0,1,0.25,0.541666667,0.625,2,0.666666667,3,1,3,1,3,1,0.916666667,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,6,https://www.youtube.com/watch?v=LazVcS9AC_8,31.8.2022,1,3,14,4,1,2,0.666666667,2,1,,,2,,3,1,,,"3, 4, 5, 8, 9",0,0,1,1,1,0,0,1,1,2,0.666666667,3,0.75,0.833333333,0.875,3,1,1,0.333333333,3,1,3,1,0.833333333,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,8,https://www.youtube.com/watch?v=J-0Wc-h2-tg,31.8.2022,1,3,14,4,1,2,0.666666667,2,1,,,2,,3,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0.666666667,0.5,2,0.666666667,3,1,3,1,3,1,0.916666667,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,9,https://www.youtube.com/watch?v=Qh-YwWF5e94,31.8.2022,3,3,11,3,0.75,2,0.666666667,2,1,,,2,,3,1,,,"3,9",0,0,1,0,0,0,0,1,1,1,0.333333333,1,0.25,0.6875,0.625,2,0.666666667,2,0.666666667,3,1,3,1,0.833333333,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,10,https://www.zhihu.com/question/19595131,31.8.2022,1,2,15,4,1,2,0.666666667,2,1,,,1,2,2,0.666666667,,,"3, 5",0,0,1,0,1,0,0,1,0,0,0,2,0.5,0.666666667,0.583333333,2,0.666666667,2,0.666666667,3,1,3,1,0.833333333,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,11,https://www.rcec.sinica.edu.tw/upload/files/AC3_%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96%E6%98%AF%E5%80%8B%E5%A4%A7%E9%A8%99%E5%B1%80_%E7%A7%91%E5%AD%B8%E4%BA%BA-200709.pdf,31.8.2022,1,5,8,2,0.5,3,1,2,1,,,1,2,2,0.666666667,,,"3, 4, 5, 6, 7, 8, 9",0,0,1,1,1,1,1,1,1,3,1,4,1,0.875,0.833333333,3,1,3,1,3,1,3,1,1,,,,,,,
73-B,Taiwanese,"Taipei City,Taiwan",全球暖化騙局,Conspiracy Theories,tw,zh-TW,tw,28.7.2022,12,https://www.master-insight.com/%E7%82%BA%E4%BB%80%E9%BA%BC%E6%9C%89%E4%BA%BA%E8%81%B2%E7%A8%B1%E5%85%A8%E7%90%83%E6%9A%96%E5%8C%96%E6%98%AF%E5%80%8B%E9%A8%99%E5%B1%80/,31.8.2022,1,1,11,3,0.75,3,1,2,1,,,2,,3,1,,,"4, 7",0,0,0,1,0,0,1,1,0,1,0.333333333,1,0.25,0.770833333,0.625,3,1,3,1,3,1,3,1,1,,,,,,,
